Offer_ID,Offer_Send_Date,Offer_Start_Date,Offer_End_Date,Offer_Title,SubCategory2,Segment,Offer_Type,Duration_Type,Offer_Status,Offer_Open_Date,Offer_Activation_Date,Offer_Redeem_Date,Reward_Value_USD,Offer_Period_Visited,Incremental_Revenue,Opened,Activated,Redeemed,Achievement_Rate,Region,Time_to_Respond,Redeem_DayOfWeek,Loyalty_Tier,Customer_Journey,Offer_Month,Customer_ID
OFF00000,2024-01-23,2024-01-24,2024-02-07,Free Tyre Check with Car Care Service,Salty Snacks,Loyalist,BOGO,Monthly,Redeemed,2024-01-25,2024-01-26,2024-01-28,3.79,0,8.197529528171101,1,1,1,1,South,4.0,Sunday,Brown,Elapsed,2024-01,CUST00001
OFF00001,2024-01-11,2024-01-12,2024-01-26,Free Print Credit on Recharge,Printer Services,New,Cashback,Weekly,Expired,,,,1.22,1,0.0,1,1,0,0,West,,,Gold,Early Life,2024-01,CUST00002
OFF00002,2024-01-16,2024-01-17,2024-01-24,Get $2 Off Sweet Snacks Combo,Salty Snacks,Loyalist,BOGO,Weekly,Expired,2024-01-18,2024-01-19,,2.99,1,0.0,1,0,0,0,North,,,Brown,In Life,2024-01,CUST00003
OFF00003,2024-02-18,2024-02-19,2024-03-04,Free Print Credit on Recharge,Energy Drinks,Loyalist,BOGO,Weekly,Redeemed,2024-02-19,2024-02-20,2024-02-22,2.62,0,6.460501153628068,1,1,1,1,Central,3.0,Thursday,Brown,In Life,2024-02,CUST00004
OFF00004,2024-04-19,2024-04-20,2024-04-27,Free Print Credit on Recharge,Salty Snacks,Loyalist,BOGO,Weekly,Redeemed,2024-04-21,2024-04-22,2024-04-23,1.63,0,0.0,1,1,0,0,Central,3.0,Tuesday,Brown,Early Life,2024-04,CUST00005
OFF00005,2024-03-20,2024-03-21,2024-03-28,Flat $1 Off Hot Coffee,Printer Services,New,Discount,Monthly,Redeemed,2024-03-22,2024-03-23,2024-03-25,1.62,1,0.0,0,0,0,0,South,4.0,Monday,Gold,In Life,2024-03,CUST00006
OFF00006,2024-05-21,2024-05-22,2024-05-29,Get $2 Off Sweet Snacks Combo,Hot Coffee,Lapsed,Cashback,Weekly,Expired,2024-05-22,2024-05-23,,1.64,1,0.0,1,0,0,0,North,,,Platinum,Early Life,2024-05,CUST00007
OFF00007,2024-05-13,2024-05-14,2024-06-13,Get $2 Off Sweet Snacks Combo,Soft Drinks,Lapsed,BOGO,Weekly,Expired,2024-05-15,,,3.4,0,6.27960176388165,1,1,1,1,North,,,Gold,In Life,2024-05,CUST00008
OFF00008,2024-06-18,2024-06-19,2024-07-19,Get $2 Off Sweet Snacks Combo,Soft Drinks,New,Cashback,Weekly,Redeemed,2024-06-19,2024-06-20,2024-06-21,1.68,1,0.0,1,1,0,0,Central,2.0,Friday,Gold,Elapsed,2024-06,CUST00009
OFF00009,2024-05-24,2024-05-25,2024-06-08,Free Print Credit on Recharge,Grocery,Lapsed,Discount,Weekly,Redeemed,2024-05-25,2024-05-26,2024-05-27,1.24,0,0.0,1,1,0,0,West,2.0,Monday,Gold,Elapsed,2024-05,CUST00010
