SubCategory2,Segment,Offer_Type,Generosity Level,Scenario_Insight,Generosity_Numeric
Car Care,Loyalist,BOGO,5%,Too low to drive behavior change in any segment.,5
Car Care,Loyalist,BOGO,10%,Not recommended due to product nature and low purchase frequency.,10
Car Care,Loyalist,BOGO,15%,Not recommended due to product nature and low purchase frequency.,15
Car Care,Loyalist,BOGO,20%,Not recommended due to product nature and low purchase frequency.,20
Car Care,Loyalist,BOGO,25%,Not recommended due to product nature and low purchase frequency.,25
Car Care,Loyalist,BOGO,30%,Not recommended due to product nature and low purchase frequency.,30
Car Care,Loyalist,BOGO,35%,Not recommended due to product nature and low purchase frequency.,35
Car Care,Loyalist,BOGO,40%,Not recommended due to product nature and low purchase frequency.,40
Car Care,Loyalist,BOGO,45%,Not recommended due to product nature and low purchase frequency.,45
Car Care,Loyalist,BOGO,50%,Not recommended due to product nature and low purchase frequency.,50
Car Care,Loyalist,BOGO,55%,Not recommended due to product nature and low purchase frequency.,55
Car Care,Loyalist,BOGO,60%,Not recommended due to product nature and low purchase frequency.,60
Car Care,Loyalist,BOGO,65%,Not recommended due to product nature and low purchase frequency.,65
Car Care,Loyalist,BOGO,70%,Not recommended due to product nature and low purchase frequency.,70
Car Care,Loyalist,BOGO,75%,Not recommended due to product nature and low purchase frequency.,75
Car Care,Loyalist,BOGO,80%,Not recommended due to product nature and low purchase frequency.,80
Car Care,Loyalist,BOGO,85%,Not recommended due to product nature and low purchase frequency.,85
Car Care,Loyalist,BOGO,90%,Not recommended due to product nature and low purchase frequency.,90
Car Care,Loyalist,BOGO,95%,Not recommended due to product nature and low purchase frequency.,95
Car Care,Loyalist,BOGO,100%,Not recommended due to product nature and low purchase frequency.,100
Car Care,Loyalist,Cashback,5%,Too low to drive behavior change in any segment.,5
Car Care,Loyalist,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Car Care,Loyalist,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Car Care,Loyalist,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Car Care,Loyalist,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Car Care,Loyalist,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Car Care,Loyalist,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Car Care,Loyalist,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Car Care,Loyalist,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Car Care,Loyalist,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Car Care,Loyalist,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Car Care,Loyalist,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Car Care,Loyalist,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Car Care,Loyalist,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Car Care,Loyalist,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Car Care,Loyalist,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Car Care,Loyalist,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Car Care,Loyalist,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Car Care,Loyalist,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Car Care,Loyalist,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Car Care,Loyalist,Discount,5%,Too low to drive behavior change in any segment.,5
Car Care,Loyalist,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Car Care,Loyalist,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Car Care,Loyalist,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Car Care,Loyalist,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Car Care,Loyalist,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Car Care,Loyalist,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Car Care,Loyalist,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Car Care,Loyalist,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Car Care,Loyalist,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Car Care,Loyalist,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Car Care,Loyalist,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Car Care,Loyalist,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Car Care,Loyalist,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Car Care,Loyalist,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Car Care,Loyalist,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Car Care,Loyalist,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Car Care,Loyalist,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Car Care,Loyalist,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Car Care,Loyalist,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Car Care,Lapsed,BOGO,5%,Too low to drive behavior change in any segment.,5
Car Care,Lapsed,BOGO,10%,Not recommended due to product nature and low purchase frequency.,10
Car Care,Lapsed,BOGO,15%,Not recommended due to product nature and low purchase frequency.,15
Car Care,Lapsed,BOGO,20%,Not recommended due to product nature and low purchase frequency.,20
Car Care,Lapsed,BOGO,25%,Not recommended due to product nature and low purchase frequency.,25
Car Care,Lapsed,BOGO,30%,Not recommended due to product nature and low purchase frequency.,30
Car Care,Lapsed,BOGO,35%,Not recommended due to product nature and low purchase frequency.,35
Car Care,Lapsed,BOGO,40%,Not recommended due to product nature and low purchase frequency.,40
Car Care,Lapsed,BOGO,45%,Not recommended due to product nature and low purchase frequency.,45
Car Care,Lapsed,BOGO,50%,Not recommended due to product nature and low purchase frequency.,50
Car Care,Lapsed,BOGO,55%,Not recommended due to product nature and low purchase frequency.,55
Car Care,Lapsed,BOGO,60%,Not recommended due to product nature and low purchase frequency.,60
Car Care,Lapsed,BOGO,65%,Not recommended due to product nature and low purchase frequency.,65
Car Care,Lapsed,BOGO,70%,Not recommended due to product nature and low purchase frequency.,70
Car Care,Lapsed,BOGO,75%,Not recommended due to product nature and low purchase frequency.,75
Car Care,Lapsed,BOGO,80%,Not recommended due to product nature and low purchase frequency.,80
Car Care,Lapsed,BOGO,85%,Not recommended due to product nature and low purchase frequency.,85
Car Care,Lapsed,BOGO,90%,Not recommended due to product nature and low purchase frequency.,90
Car Care,Lapsed,BOGO,95%,Not recommended due to product nature and low purchase frequency.,95
Car Care,Lapsed,BOGO,100%,Not recommended due to product nature and low purchase frequency.,100
Car Care,Lapsed,Cashback,5%,Too low to drive behavior change in any segment.,5
Car Care,Lapsed,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Car Care,Lapsed,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Car Care,Lapsed,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Car Care,Lapsed,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Car Care,Lapsed,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Car Care,Lapsed,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Car Care,Lapsed,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
